adwaita-cursors,43-2,2,adwaita-cursors-43-2-any.chi.zst,a/adwaita-cursors-43-2-any.chi.zst,adwaita-cursors-43-2,883565
adwaita-icon-theme,43-2,2,adwaita-icon-theme-43-2-any.chi.zst,a/adwaita-icon-theme-43-2-any.chi.zst,adwaita-icon-theme-43-2,3686341
aha,0.5.1-2,2,aha-0.5.1-2-x86_64.chi.zst,a/aha-0.5.1-2-x86_64.chi.zst,aha-0.5.1-2,13755
aic94xx-firmware,30-9,9,aic94xx-firmware-30-9-any.chi.zst,a/aic94xx-firmware-30-9-any.chi.zst,aic94xx-firmware-30-9,20503
aiksaurus,1.2.1-7,7,aiksaurus-1.2.1-7-x86_64.chi.zst,a/aiksaurus-1.2.1-7-x86_64.chi.zst,aiksaurus-1.2.1-7,383540
aircrack-ng,1.6-2,2,aircrack-ng-1.6-2-x86_64.chi.zst,a/aircrack-ng-1.6-2-x86_64.chi.zst,aircrack-ng-1.6-2,656756
akonadi,20.08.1-2,2,akonadi-20.08.1-2-x86_64.chi.zst,a/akonadi-20.08.1-2-x86_64.chi.zst,akonadi-20.08.1-2,132
akonadi-calendar,20.08.1-1,1,akonadi-calendar-20.08.1-1-x86_64.chi.zst,a/akonadi-calendar-20.08.1-1-x86_64.chi.zst,akonadi-calendar-20.08.1-1,131
akonadi-calendar-tools,20.08.1-1,1,akonadi-calendar-tools-20.08.1-1-x86_64.chi.zst,a/akonadi-calendar-tools-20.08.1-1-x86_64.chi.zst,akonadi-calendar-tools-20.08.1-1,131
akonadi-contacts,20.08.1-1,1,akonadi-contacts-20.08.1-1-x86_64.chi.zst,a/akonadi-contacts-20.08.1-1-x86_64.chi.zst,akonadi-contacts-20.08.1-1,131
akonadi-import-wizard,20.08.1-1,1,akonadi-import-wizard-20.08.1-1-x86_64.chi.zst,a/akonadi-import-wizard-20.08.1-1-x86_64.chi.zst,akonadi-import-wizard-20.08.1-1,131
akonadi-mime,20.08.1-1,1,akonadi-mime-20.08.1-1-x86_64.chi.zst,a/akonadi-mime-20.08.1-1-x86_64.chi.zst,akonadi-mime-20.08.1-1,131
akonadi-notes,20.08.1-1,1,akonadi-notes-20.08.1-1-x86_64.chi.zst,a/akonadi-notes-20.08.1-1-x86_64.chi.zst,akonadi-notes-20.08.1-1,130
akonadi-search,20.08.1-1,1,akonadi-search-20.08.1-1-x86_64.chi.zst,a/akonadi-search-20.08.1-1-x86_64.chi.zst,akonadi-search-20.08.1-1,131
akonadiconsole,20.08.1-1,1,akonadiconsole-20.08.1-1-x86_64.chi.zst,a/akonadiconsole-20.08.1-1-x86_64.chi.zst,akonadiconsole-20.08.1-1,131
akregator,20.08.1-1,1,akregator-20.08.1-1-x86_64.chi.zst,a/akregator-20.08.1-1-x86_64.chi.zst,akregator-20.08.1-1,132
alacritty,0.11.0-2,2,alacritty-0.11.0-2-x86_64.chi.zst,a/alacritty-0.11.0-2-x86_64.chi.zst,alacritty-0.11.0-2,2577694
allegro4,4.4.3.1-3,3,allegro4-4.4.3.1-3-x86_64.chi.zst,a/allegro4-4.4.3.1-3-x86_64.chi.zst,allegro4-4.4.3.1-3,790092
alpm_octopi_utils,1.0.2-3,3,alpm_octopi_utils-1.0.2-3-x86_64.chi.zst,a/alpm_octopi_utils-1.0.2-3-x86_64.chi.zst,alpm_octopi_utils-1.0.2-3,14379
alsa-card-profiles,1%3A0.3.65-6,6,alsa-card-profiles-1%3A0.3.65-6-x86_64.chi.zst,a/alsa-card-profiles-1%3A0.3.65-6-x86_64.chi.zst,alsa-card-profiles-1%3A0.3.65-6,23915
alsa-firmware,1.2.1-2,2,alsa-firmware-1.2.1-2-any.chi.zst,a/alsa-firmware-1.2.1-2-any.chi.zst,alsa-firmware-1.2.1-2,5309386
alsa-lib,1.2.8-1,1,alsa-lib-1.2.8-1-x86_64.chi.zst,a/alsa-lib-1.2.8-1-x86_64.chi.zst,alsa-lib-1.2.8-1,590869
alsa-oss,1.1.8-3,3,alsa-oss-1.1.8-3-x86_64.chi.zst,a/alsa-oss-1.1.8-3-x86_64.chi.zst,alsa-oss-1.1.8-3,34526
alsa-plugins,1%3A1.2.7.1-1,1,alsa-plugins-1%3A1.2.7.1-1-x86_64.chi.zst,a/alsa-plugins-1%3A1.2.7.1-1-x86_64.chi.zst,alsa-plugins-1%3A1.2.7.1-1,96256
alsa-tools,1.2.2-1,1,alsa-tools-1.2.2-1-x86_64.chi.zst,a/alsa-tools-1.2.2-1-x86_64.chi.zst,alsa-tools-1.2.2-1,487108
alsa-topology-conf,1.2.5.1-1,1,alsa-topology-conf-1.2.5.1-1-any.chi.zst,a/alsa-topology-conf-1.2.5.1-1-any.chi.zst,alsa-topology-conf-1.2.5.1-1,16111
alsa-ucm-conf,1.2.8-1,1,alsa-ucm-conf-1.2.8-1-any.chi.zst,a/alsa-ucm-conf-1.2.8-1-any.chi.zst,alsa-ucm-conf-1.2.8-1,57520
alsa-utils,1.2.8-1,1,alsa-utils-1.2.8-1-x86_64.chi.zst,a/alsa-utils-1.2.8-1-x86_64.chi.zst,alsa-utils-1.2.8-1,1312507
alure,1.2-9,9,alure-1.2-9-x86_64.chi.zst,a/alure-1.2-9-x86_64.chi.zst,alure-1.2-9,143870
amavisd-milter,1.7.2-1,1,amavisd-milter-1.7.2-1-x86_64.chi.zst,a/amavisd-milter-1.7.2-1-x86_64.chi.zst,amavisd-milter-1.7.2-1,37486
amavisd-new,2.12.2-1,1,amavisd-new-2.12.2-1-any.chi.zst,a/amavisd-new-2.12.2-1-any.chi.zst,amavisd-new-2.12.2-1,390288
amd-ucode,20220309.cd01f85-1,1,amd-ucode-20220309.cd01f85-1-any.chi.zst,a/amd-ucode-20220309.cd01f85-1-any.chi.zst,amd-ucode-20220309.cd01f85-1,34696
amdvlk,2022.Q1.3-1,1,amdvlk-2022.Q1.3-1-x86_64.chi.zst,a/amdvlk-2022.Q1.3-1-x86_64.chi.zst,amdvlk-2022.Q1.3-1,14719225
amtk,5.6.1-1,1,amtk-5.6.1-1-x86_64.chi.zst,a/amtk-5.6.1-1-x86_64.chi.zst,amtk-5.6.1-1,105567
ansible,5.8.0-1,1,ansible-5.8.0-1-any.chi.zst,a/ansible-5.8.0-1-any.chi.zst,ansible-5.8.0-1,50343757
ansible-core,2.13.0-1,1,ansible-core-2.13.0-1-any.chi.zst,a/ansible-core-2.13.0-1-any.chi.zst,ansible-core-2.13.0-1,3079273
ant,1.10.12-1,1,ant-1.10.12-1-any.chi.zst,a/ant-1.10.12-1-any.chi.zst,ant-1.10.12-1,2603371
antic,0.2.4-2,2,antic-0.2.4-2-x86_64.chi.zst,a/antic-0.2.4-2-x86_64.chi.zst,antic-0.2.4-2,50003
anydesk-bin,6.1.1-5,5,anydesk-bin-6.1.1-5-x86_64.chi.zst,a/anydesk-bin-6.1.1-5-x86_64.chi.zst,anydesk-bin-6.1.1-5,5285302
aom,3.6.0-1,1,aom-3.6.0-1-x86_64.chi.zst,a/aom-3.6.0-1-x86_64.chi.zst,aom-3.6.0-1,3456575
apache,2.4.55-1,1,apache-2.4.55-1-x86_64.chi.zst,a/apache-2.4.55-1-x86_64.chi.zst,apache-2.4.55-1,2142644
apm,2.6.5-2,2,apm-2.6.5-2-x86_64.chi.zst,a/apm-2.6.5-2-x86_64.chi.zst,apm-2.6.5-2,7410327
apparmor,3.1.2-1,1,apparmor-3.1.2-1-x86_64.chi.zst,a/apparmor-3.1.2-1-x86_64.chi.zst,apparmor-3.1.2-1,1317985
appstream,0.16.1-1,1,appstream-0.16.1-1-x86_64.chi.zst,a/appstream-0.16.1-1-x86_64.chi.zst,appstream-0.16.1-1,2772973
appstream-glib,0.8.2-1,1,appstream-glib-0.8.2-1-x86_64.chi.zst,a/appstream-glib-0.8.2-1-x86_64.chi.zst,appstream-glib-0.8.2-1,671678
appstream-qt,0.16.1-1,1,appstream-qt-0.16.1-1-x86_64.chi.zst,a/appstream-qt-0.16.1-1-x86_64.chi.zst,appstream-qt-0.16.1-1,94765
apr,1.7.0-3,3,apr-1.7.0-3-x86_64.chi.zst,a/apr-1.7.0-3-x86_64.chi.zst,apr-1.7.0-3,340123
apr-util,1.6.1-11,11,apr-util-1.6.1-11-x86_64.chi.zst,a/apr-util-1.6.1-11-x86_64.chi.zst,apr-util-1.6.1-11,200915
aqemu,0.9.4-2,2,aqemu-0.9.4-2-x86_64.chi.zst,a/aqemu-0.9.4-2-x86_64.chi.zst,aqemu-0.9.4-2,1928401
arandr,0.1.11-1,1,arandr-0.1.11-1-any.chi.zst,a/arandr-0.1.11-1-any.chi.zst,arandr-0.1.11-1,90982
arb,2.22.1-1,1,arb-2.22.1-1-x86_64.chi.zst,a/arb-2.22.1-1-x86_64.chi.zst,arb-2.22.1-1,1502140
