akonadi-mime,20.08.1-1,1,akonadi-mime-20.08.1-1-x86_64.chi.zst,a/akonadi-mime-20.08.1-1-x86_64.chi.zst
akonadi-notes,20.08.1-1,1,akonadi-notes-20.08.1-1-x86_64.chi.zst,a/akonadi-notes-20.08.1-1-x86_64.chi.zst
akonadi-search,20.08.1-1,1,akonadi-search-20.08.1-1-x86_64.chi.zst,a/akonadi-search-20.08.1-1-x86_64.chi.zst
akonadiconsole,20.08.1-1,1,akonadiconsole-20.08.1-1-x86_64.chi.zst,a/akonadiconsole-20.08.1-1-x86_64.chi.zst
akregator,20.08.1-1,1,akregator-20.08.1-1-x86_64.chi.zst,a/akregator-20.08.1-1-x86_64.chi.zst
alacritty,0.12.2-1,1,alacritty-0.12.2-1-x86_64.chi.zst,a/alacritty-0.12.2-1-x86_64.chi.zst
allegro4,4.4.3.1-3,3,allegro4-4.4.3.1-3-x86_64.chi.zst,a/allegro4-4.4.3.1-3-x86_64.chi.zst
alpm_octopi_utils,1.0.2-3,3,alpm_octopi_utils-1.0.2-3-x86_64.chi.zst,a/alpm_octopi_utils-1.0.2-3-x86_64.chi.zst
alsa-card-profiles,1%3A0.3.77-2,2,alsa-card-profiles-1%3A0.3.77-2-x86_64.chi.zst,a/alsa-card-profiles-1%3A0.3.77-2-x86_64.chi.zst
alsa-firmware,1.2.4-3,3,alsa-firmware-1.2.4-3-any.chi.zst,a/alsa-firmware-1.2.4-3-any.chi.zst
alsa-lib,1.2.9-1,1,alsa-lib-1.2.9-1-x86_64.chi.zst,a/alsa-lib-1.2.9-1-x86_64.chi.zst
alsa-oss,1.1.8-3,3,alsa-oss-1.1.8-3-x86_64.chi.zst,a/alsa-oss-1.1.8-3-x86_64.chi.zst
alsa-plugins,1%3A1.2.7.1-2,2,alsa-plugins-1%3A1.2.7.1-2-x86_64.chi.zst,a/alsa-plugins-1%3A1.2.7.1-2-x86_64.chi.zst
alsa-tools,1.2.2-1,1,alsa-tools-1.2.2-1-x86_64.chi.zst,a/alsa-tools-1.2.2-1-x86_64.chi.zst
alsa-topology-conf,1.2.5.1-3,3,alsa-topology-conf-1.2.5.1-3-any.chi.zst,a/alsa-topology-conf-1.2.5.1-3-any.chi.zst
alsa-ucm-conf,1.2.9-1,1,alsa-ucm-conf-1.2.9-1-any.chi.zst,a/alsa-ucm-conf-1.2.9-1-any.chi.zst
alsa-utils,1.2.9-1,1,alsa-utils-1.2.9-1-x86_64.chi.zst,a/alsa-utils-1.2.9-1-x86_64.chi.zst
alure,1.2-10,10,alure-1.2-10-x86_64.chi.zst,a/alure-1.2-10-x86_64.chi.zst
amavisd-milter,1.7.2-1,1,amavisd-milter-1.7.2-1-x86_64.chi.zst,a/amavisd-milter-1.7.2-1-x86_64.chi.zst
amavisd-new,2.12.2-1,1,amavisd-new-2.12.2-1-any.chi.zst,a/amavisd-new-2.12.2-1-any.chi.zst
amd-ucode,20230404.2e92a49f-1,1,amd-ucode-20230404.2e92a49f-1-any.chi.zst,a/amd-ucode-20230404.2e92a49f-1-any.chi.zst
amdvlk,2022.Q1.3-1,1,amdvlk-2022.Q1.3-1-x86_64.chi.zst,a/amdvlk-2022.Q1.3-1-x86_64.chi.zst
amtk,5.6.1-2,2,amtk-5.6.1-2-x86_64.chi.zst,a/amtk-5.6.1-2-x86_64.chi.zst
ansible,8.0.0-1,1,ansible-8.0.0-1-any.chi.zst,a/ansible-8.0.0-1-any.chi.zst
ansible-core,2.15.0-1,1,ansible-core-2.15.0-1-any.chi.zst,a/ansible-core-2.15.0-1-any.chi.zst
ant,1.10.12-1,1,ant-1.10.12-1-any.chi.zst,a/ant-1.10.12-1-any.chi.zst
antic,0.2.4-2,2,antic-0.2.4-2-x86_64.chi.zst,a/antic-0.2.4-2-x86_64.chi.zst
anydesk-bin,6.2.1-2,2,anydesk-bin-6.2.1-2-x86_64.chi.zst,a/anydesk-bin-6.2.1-2-x86_64.chi.zst
aom,3.6.1-1,1,aom-3.6.1-1-x86_64.chi.zst,a/aom-3.6.1-1-x86_64.chi.zst
apache,2.4.57-1,1,apache-2.4.57-1-x86_64.chi.zst,a/apache-2.4.57-1-x86_64.chi.zst
apm,2.6.5-2,2,apm-2.6.5-2-x86_64.chi.zst,a/apm-2.6.5-2-x86_64.chi.zst
apparmor,3.1.6-2,2,apparmor-3.1.6-2-x86_64.chi.zst,a/apparmor-3.1.6-2-x86_64.chi.zst
appstream,0.16.2-1,1,appstream-0.16.2-1-x86_64.chi.zst,a/appstream-0.16.2-1-x86_64.chi.zst
appstream-glib,0.8.2-3,3,appstream-glib-0.8.2-3-x86_64.chi.zst,a/appstream-glib-0.8.2-3-x86_64.chi.zst
appstream-qt,0.16.2-1,1,appstream-qt-0.16.2-1-x86_64.chi.zst,a/appstream-qt-0.16.2-1-x86_64.chi.zst
apr,1.7.3-1,1,apr-1.7.3-1-x86_64.chi.zst,a/apr-1.7.3-1-x86_64.chi.zst
apr-util,1.6.3-1,1,apr-util-1.6.3-1-x86_64.chi.zst,a/apr-util-1.6.3-1-x86_64.chi.zst
aqemu,0.9.4-2,2,aqemu-0.9.4-2-x86_64.chi.zst,a/aqemu-0.9.4-2-x86_64.chi.zst
arandr,0.1.11-2,2,arandr-0.1.11-2-any.chi.zst,a/arandr-0.1.11-2-any.chi.zst
